#DataThief C:\Users\bwc\Desktop\PMT_Sensitivity_data.png Tuesday 19-Sep-2017 12:41:23 PM
189.2412, 0.6157
189.1226, 0.6225
189.004, 0.6293
188.8854, 0.6362
188.7667, 0.6432
188.6481, 0.6503
188.5295, 0.6574
189.8359, 0.6646
189.7174, 0.6719
189.5987, 0.6793
189.4801, 0.6867
189.3615, 0.6943
189.2429, 0.702
189.1242, 0.7097
189.0056, 0.7175
188.887, 0.7252
190.1935, 0.7332
190.0749, 0.7414
189.9563, 0.7495
189.8376, 0.7578
189.7189, 0.7661
189.6004, 0.7745
189.4818, 0.783
189.3631, 0.7915
189.2445, 0.8003
190.551, 0.8091
190.4324, 0.818
190.3138, 0.827
190.1952, 0.8361
190.0765, 0.8452
189.9579, 0.8545
189.8393, 0.8639
189.7207, 0.8734
189.6019, 0.883
189.4834, 0.8927
190.7899, 0.9024
190.6713, 0.9123
190.5527, 0.9224
190.434, 0.9325
190.3154, 0.9428
190.1968, 0.9532
190.0782, 0.9637
189.9596, 0.9743
189.8409, 0.9849
191.1474, 0.9958
191.0288, 1.0067
190.9102, 1.0178
190.7915, 1.029
190.6729, 1.0403
190.5543, 1.0517
190.4357, 1.0633
190.3171, 1.0749
191.6236, 1.0868
191.505, 1.0987
191.3862, 1.1108
191.2677, 1.123
191.1491, 1.1353
191.0305, 1.1478
190.9118, 1.1604
190.7932, 1.1731
190.6745, 1.186
191.9811, 1.1991
191.8625, 1.2122
191.7438, 1.2256
191.6252, 1.2389
191.5066, 1.2526
191.388, 1.2664
191.2692, 1.2803
191.1507, 1.2944
192.4572, 1.3086
192.3386, 1.323
192.22, 1.3375
192.1014, 1.3522
191.9827, 1.3671
191.8641, 1.382
191.7455, 1.3973
191.6269, 1.4126
191.5082, 1.4281
192.8148, 1.4438
192.6961, 1.4597
192.5775, 1.4757
192.4588, 1.492
192.3403, 1.5083
192.2216, 1.5249
192.103, 1.5417
191.9844, 1.5586
191.8658, 1.5756
193.1723, 1.5931
193.0536, 1.6106
192.935, 1.6282
192.8164, 1.6461
192.6978, 1.6642
192.5791, 1.6825
192.4605, 1.701
192.3418, 1.7197
193.6484, 1.7386
193.5298, 1.7577
193.4112, 1.777
193.2925, 1.7965
193.1739, 1.8163
193.0553, 1.8362
192.9367, 1.8564
192.818, 1.8768
194.1245, 1.8974
194.0059, 1.9183
193.8873, 1.9393
193.7687, 1.9606
193.6501, 1.9822
193.5314, 2.0039
193.4128, 2.026
193.2942, 2.0482
193.1756, 2.0707
194.4821, 2.0935
194.3634, 2.1165
194.2448, 2.1397
194.1262, 2.1632
194.0076, 2.187
193.8889, 2.211
193.7703, 2.2353
195.0768, 2.2599
194.9582, 2.2847
194.8396, 2.3098
194.721, 2.3352
